level,mets,value
0,10,0.848399997
0,11,0.933239996
0,11,0.933239996
1,28,2.375519991
1,26,2.205840111
1,32,2.71487999
1,32,2.71487999
1,28,2.375519991
1,36,3.054239988
1,42,3.563280106
1,48,4.072319984
1,30,2.545200109
1,26,2.205840111
0,13,1.102920055
0,12,1.018079996
0,10,0.848399997
0,11,0.933239996
1,26,2.205840111
1,50,4.242000103
1,46,3.902640104
1,50,4.242000103
1,46,3.902640104
1,34,2.884560108
0,13,1.102920055
0,13,1.102920055
0,13,1.102920055
1,30,2.545200109
1,30,2.545200109
1,40,3.393599987
2,52,4.411680222
2,58,4.9207201
2,46,3.902640104
2,50,4.242000103
2,50,4.242000103
2,54,4.581359863
2,56,4.751039982
2,54,4.581359863
2,54,4.581359863
2,54,4.581359863
2,54,4.581359863
2,56,4.751039982
2,54,4.581359863
2,50,4.242000103
0,13,1.102920055
0,13,1.102920055
0,13,1.102920055
0,12,1.018079996
0,13,1.102920055
0,12,1.018079996
0,13,1.102920055
1,28,2.375519991
1,46,3.902640104
1,32,2.71487999
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
1,28,2.375519991
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
1,24,2.036159992
1,26,2.205840111
0,11,0.933239996
0,10,0.848399997
0,11,0.933239996
0,12,1.018079996
1,24,2.036159992
1,26,2.205840111
1,30,2.545200109
0,13,1.102920055
1,32,2.71487999
0,13,1.102920055
1,25,2.121000051
1,34,2.884560108
1,27,2.290679932
1,34,2.884560108
0,13,1.102920055
0,13,1.102920055
0,13,1.102920055
0,13,1.102920055
1,38,3.223920107
1,42,3.563280106
1,35,2.969399929
1,31,2.63003993
1,37,3.139080048
0,13,1.102920055
1,32,2.71487999
1,30,2.545200109
0,11,0.933239996
1,30,2.545200109
0,11,0.933239996
0,12,1.018079996
0,12,1.018079996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
1,26,2.205840111
1,30,2.545200109
0,13,1.102920055
0,13,1.102920055
1,30,2.545200109
0,13,1.102920055
0,13,1.102920055
0,13,1.102920055
0,10,0.848399997
0,10,0.848399997
0,13,1.102920055
0,13,1.102920055
0,12,1.018079996
0,12,1.018079996
0,13,1.102920055
0,12,1.018079996
0,13,1.102920055
0,12,1.018079996
0,13,1.102920055
0,13,1.102920055
0,11,0.933239996
1,32,2.71487999
1,48,4.072319984
1,46,3.902640104
1,46,3.902640104
1,50,4.242000103
1,34,2.884560108
0,13,1.102920055
0,13,1.102920055
1,50,4.242000103
0,12,1.018079996
1,30,2.545200109
1,30,2.545200109
1,30,2.545200109
1,29,2.46036005
1,42,3.563280106
1,42,3.563280106
1,33,2.799720049
1,42,3.563280106
1,31,2.63003993
1,34,2.884560108
0,12,1.018079996
0,12,1.018079996
1,27,2.290679932
1,27,2.290679932
1,29,2.46036005
1,31,2.63003993
1,32,2.71487999
1,40,3.393599987
1,30,2.545200109
1,48,4.072319984
1,56,4.751039982
1,60,5.090400219
1,62,5.260079861
1,64,5.429759979
1,58,4.9207201
1,42,3.563280106
1,40,3.393599987
1,33,2.799720049
1,35,2.969399929
1,34,2.884560108
1,35,2.969399929
1,31,2.63003993
1,38,3.223920107
1,50,4.242000103
1,56,4.751039982
1,54,4.581359863
1,46,3.902640104
1,42,3.563280106
1,50,4.242000103
1,56,4.751039982
1,38,3.223920107
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,10,0.848399997
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
1,24,2.036159992
1,26,2.205840111
0,11,0.933239996
0,10,0.848399997
0,11,0.933239996
0,12,1.018079996
1,24,2.036159992
1,26,2.205840111
1,30,2.545200109
0,13,1.102920055
1,32,2.71487999
0,13,1.102920055
1,25,2.121000051
1,34,2.884560108
1,27,2.290679932
1,34,2.884560108
0,13,1.102920055
0,13,1.102920055
0,13,1.102920055
0,13,1.102920055
1,38,3.223920107
1,42,3.563280106
1,35,2.969399929
1,31,2.63003993
1,37,3.139080048
0,13,1.102920055
1,32,2.71487999
1,30,2.545200109
0,11,0.933239996
1,30,2.545200109
0,11,0.933239996
0,12,1.018079996
0,12,1.018079996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
0,11,0.933239996
1,26,2.205840111
1,30,2.545200109
0,13,1.102920055
0,13,1.102920055
1,30,2.545200109
0,13,1.102920055
0,13,1.102920055
0,13,1.102920055
0,10,0.848399997
0,10,0.848399997
0,13,1.102920055
0,13,1.102920055
0,12,1.018079996
0,12,1.018079996
0,13,1.102920055
0,12,1.018079996
0,13,1.102920055
0,12,1.018079996
0,13,1.102920055
0,13,1.102920055
0,11,0.933239996
1,32,2.71487999
1,48,4.072319984
1,46,3.902640104
1,46,3.902640104
1,50,4.242000103
1,34,2.884560108
0,13,1.102920055
0,13,1.102920055
1,50,4.242000103
0,12,1.018079996
1,30,2.545200109
1,30,2.545200109
1,30,2.545200109
1,29,2.46036005
1,42,3.563280106
1,42,3.563280106
1,33,2.799720049
1,42,3.563280106
1,31,2.63003993
1,34,2.884560108
0,12,1.018079996
0,12,1.018079996
1,27,2.290679932
1,27,2.290679932
1,29,2.46036005
1,31,2.63003993
1,32,2.71487999
1,40,3.393599987
1,30,2.545200109
1,48,4.072319984
1,56,4.751039982
1,60,5.090400219
1,62,5.260079861
1,64,5.429759979
1,58,4.9207201
1,42,3.563280106
1,40,3.393599987
1,33,2.799720049
1,35,2.969399929
1,34,2.884560108
1,35,2.969399929
1,31,2.63003993
1,38,3.223920107
1,50,4.242000103
1,56,4.751039982
1,54,4.581359863
1,46,3.902640104
