count_head,blink,aware,shouting,silent
199,4,26,36,20
211,13,38,45,18
206,26,29,44,22
81,3,20,47,20
107,1,20,62,13
96,23,40,52,23
102,0,41,68,11
97,3,15,20,15
85,3,20,48,18
90,5,34,30,14
88,6,7,48,11
80,1,28,43,13
128,32,33,25,11
171,6,24,20,14
85,4,30,24,11
79,6,7,11,5
121,6,34,14,18
80,7,33,36,19
206,9,21,40,20
219,8,34,15,15
98,2,33,61,12
99,2,26,32,16
191,2,12,27,13
105,3,24,31,16
117,1,26,51,21
94,3,26,30,5
122,24,50,6,15
124,1,39,35,10
131,22,40,15,14
103,2,30,56,11
124,5,31,28,12
103,7,26,49,30
123,15,38,55,15
100,12,31,36,11
81,3,23,14,8
148,5,23,34,16
111,3,24,55,6
100,2,19,15,19
115,3,28,21,12
109,14,22,57,16
182,13,16,17,10
97,5,41,31,16
90,4,9,5,6
95,7,1,14,8
72,17,5,25,5
112,6,38,37,13
128,5,39,24,12
100,4,17,14,16
114,22,19,28,11
100,3,30,49,7
101,3,24,12,8
122,3,32,29,15
120,23,31,26,12
95,2,28,14,3
107,2,34,46,16
115,4,35,37,11
96,2,30,21,8
118,10,37,27,15
116,6,29,17,11
173,7,14,17,12
131,3,26,9,11
81,6,26,60,22
101,3,23,21,15
106,13,32,45,18
123,5,17,13,10
109,7,35,24,19
110,10,26,36,20
101,7,27,34,14
98,19,29,37,16
124,3,27,27,17
100,15,33,31,14
104,6,19,31,13
108,13,10,14,17
84,5,24,7,10
106,3,28,29,21
102,5,29,25,4
120,7,32,25,20
78,2,44,37,9
112,1,3,22,10
92,3,26,27,14
84,4,23,19,7
100,5,28,25,13
206,16,46,52,17
192,21,26,21,15
90,18,13,18,15
116,3,40,43,9
206,2,31,39,9
87,2,38,8,7
103,2,36,38,15
100,1,45,38,20
104,3,48,35,28
94,7,30,56,18
92,9,9,7,5
97,7,14,25,18
114,39,32,40,4
80,7,17,22,13
115,6,31,25,9
128,1,18,34,13
141,13,41,15,16
107,9,8,37,17
117,16,10,16,9
116,21,45,24,11
136,16,30,37,26
142,16,32,32,17
108,1,5,10,4
65,3,4,2,1
105,11,1,3,7
118,24,9,11,11
113,4,1,18,7
125,4,27,39,26
126,16,11,27,23
102,11,22,22,16
137,6,7,22,15
143,12,10,25,18
130,0,19,28,18
172,12,5,13,34
107,8,0,2,12
128,7,20,34,8
134,28,28,28,9
137,4,34,24,24
138,17,14,29,15
103,28,15,24,16
137,30,34,42,19
27,21,14,25,5
166,4,22,46,15
128,9,33,35,10
42,7,16,17,7
107,2,39,24,16
115,11,22,46,18
95,6,16,19,10
134,60,61,103,12
119,10,48,23,25
144,41,52,49,16
147,8,33,26,20
163,6,26,32,10
167,2,26,94,12
134,39,36,61,22
156,33,55,60,15
120,11,20,50,25
162,9,40,35,19
142,7,33,28,16
136,18,11,43,9
140,11,39,73,46
165,15,37,77,18
141,10,28,66,29
136,17,4,57,8
160,20,34,37,12
151,14,44,52,8
141,18,47,89,48
153,14,39,23,19
150,40,50,35,16
146,34,68,40,20
154,16,50,57,15
112,4,17,33,21
115,10,30,34,18
107,7,28,15,7
101,19,2,19,14
90,12,4,16,10
133,7,19,2,8
108,7,57,67,42
150,5,60,69,42
125,16,42,52,37
124,10,32,50,31
138,16,35,35,16
151,12,22,27,12
160,3,19,2,34
129,5,47,63,34
138,4,65,77,35
149,4,55,92,45
99,10,47,55,23
147,7,69,75,51
144,3,50,99,51
143,3,59,89,38
125,17,38,84,40
105,3,37,55,36
124,5,41,58,24
105,12,56,16,16
145,7,41,73,9
155,7,67,86,44
136,5,54,68,33
162,17,53,66,49
156,7,34,53,34
131,34,49,72,15
145,16,36,36,37
151,9,51,86,43
144,11,38,16,8
148,23,25,83,34
100,2,51,80,27
145,16,43,102,58
40,8,42,62,21
147,4,46,80,35
98,14,33,62,32
113,5,45,49,37
148,3,51,44,20
151,19,56,90,17
152,10,61,103,49
139,35,64,93,49
154,49,83,84,42
152,41,56,87,46
144,22,34,72,28
142,10,59,93,49
130,3,49,84,40
153,1,59,97,60
114,6,40,84,43
113,8,47,23,19
140,30,31,32,12
64,2,13,11,1
58,5,8,16,5
76,5,17,6,13
44,4,15,22,2
110,10,10,6,2
186,10,13,2,0
146,8,20,10,9
51,3,14,25,6
72,6,5,5,7
43,18,20,3,4
122,12,3,1,13
110,3,28,20,3
137,12,33,38,7
91,18,13,7,12
56,10,16,8,1
184,23,19,28,23
151,10,12,4,3
51,5,23,24,2
50,3,5,0,0
89,7,25,10,1
48,7,5,44,10
76,3,26,67,7
84,7,28,31,7
208,4,12,11,2
81,4,22,44,1
106,3,17,16,18
94,4,19,56,6
121,2,0,0,0
127,13,19,42,13
186,7,4,0,0
140,5,23,30,3
121,3,13,30,1
130,5,10,15,7
110,8,7,15,1
143,3,24,18,19
148,19,42,41,21
51,3,2,4,6
78,4,4,23,14
83,1,25,12,1
192,5,8,37,12
207,0,21,8,2
68,1,13,27,0
155,10,40,39,7
166,10,52,35,22
84,1,45,38,3
78,11,6,14,0
182,4,18,23,19
103,4,25,1,7
152,5,17,27,9
87,4,14,44,1
121,11,14,32,5
93,12,24,7,11
78,3,6,6,2
114,23,14,50,4
61,4,19,46,1
238,32,45,42,3
324,48,50,43,31
69,0,5,11,3
148,12,23,47,30
62,0,2,3,0
123,2,12,17,0
66,0,1,8,0
64,4,9,2,0
67,7,18,6,4
25,2,8,26,2
66,9,11,7,13
60,4,10,7,13
43,16,12,4,10
56,7,10,8,2
50,15,5,15,10
137,6,32,37,34
77,6,18,66,0
140,21,24,51,26
122,0,10,21,1
90,3,6,58,20
88,7,1,24,12
111,12,12,37,0
61,8,17,30,2
122,13,9,12,19
86,10,8,21,14
166,11,19,20,6
60,11,8,11,3
100,14,12,40,21
120,9,18,18,14
88,14,15,2,2
