heart0,heart1,heart2,level,mets,calories,active,sedentary
103,104,107,0,10,0.848399997,0,1
108,107,109,0,11,0.933239996,0,1
109,111,109,0,11,0.933239996,0,1
109,110,112,1,28,2.375519991,1,0
111,109,108,1,26,2.205840111,1,0
109,111,109,1,32,2.71487999,1,0
106,105,101,1,32,2.71487999,1,0
100,101,103,1,28,2.375519991,1,0
103,106,107,1,36,3.054239988,1,0
108,110,111,1,42,3.563280106,1,0
112,118,116,1,48,4.072319984,1,0
114,115,114,1,30,2.545200109,1,0
111,109,107,1,26,2.205840111,1,0
108,110,108,0,13,1.102920055,0,1
107,106,105,0,12,1.018079996,0,1
104,108,107,0,10,0.848399997,0,1
109,108,107,0,11,0.933239996,0,1
108,109,110,1,26,2.205840111,1,0
109,110,114,1,50,4.242000103,1,0
116,115,113,1,46,3.902640104,1,0
115,114,112,1,50,4.242000103,1,0
111,112,111,1,46,3.902640104,1,0
108,109,108,1,34,2.884560108,1,0
109,110,111,0,13,1.102920055,0,1
112,112,109,0,13,1.102920055,0,1
107,105,106,0,13,1.102920055,0,1
105,104,109,1,30,2.545200109,1,0
113,111,110,1,30,2.545200109,1,0
109,107,105,1,40,3.393599987,1,0
106,108,111,2,52,4.411680222,0,0
112,111,110,2,58,4.9207201,0,0
108,111,112,2,46,3.902640104,0,0
109,107,108,2,50,4.242000103,0,0
104,108,115,2,50,4.242000103,0,0
116,117,115,2,54,4.581359863,0,0
111,110,112,2,56,4.751039982,0,0
109,110,111,2,54,4.581359863,0,0
111,111,112,2,54,4.581359863,0,0
113,115,116,2,54,4.581359863,0,0
117,118,117,2,54,4.581359863,0,0
115,112,113,2,56,4.751039982,0,0
109,102,101,2,54,4.581359863,0,0
98,95,91,2,50,4.242000103,0,0
84,83,89,0,13,1.102920055,0,1
91,97,99,0,13,1.102920055,0,1
101,100,101,0,13,1.102920055,0,1
95,97,98,0,12,1.018079996,0,1
104,105,104,0,13,1.102920055,0,1
103,102,102,0,12,1.018079996,0,1
102,101,101,0,13,1.102920055,0,1
100,99,98,1,28,2.375519991,1,0
99,100,101,1,46,3.902640104,1,0
97,96,95,1,32,2.71487999,1,0
96,95,94,0,11,0.933239996,0,1
93,92,93,0,11,0.933239996,0,1
94,95,97,0,11,0.933239996,0,1
98,97,98,0,11,0.933239996,0,1
95,95,95,0,11,0.933239996,0,1
94,93,92,1,28,2.375519991,1,0
93,94,96,0,11,0.933239996,0,1
97,97,96,0,11,0.933239996,0,1
95,96,98,0,11,0.933239996,0,1
100,101,103,0,11,0.933239996,0,1
104,107,109,0,11,0.933239996,0,1
108,107,108,0,11,0.933239996,0,1
104,94,93,0,11,0.933239996,0,1
92,91,90,0,11,0.933239996,0,1
89,93,70,1,24,2.036159992,1,0
70,70,71,1,26,2.205840111,1,0
73,74,74,0,11,0.933239996,0,1
74,73,70,0,10,0.848399997,0,1
69,73,77,0,11,0.933239996,0,1
78,82,82,0,12,1.018079996,0,1
82,82,85,1,24,2.036159992,1,0
84,82,82,1,26,2.205840111,1,0
83,82,81,1,30,2.545200109,1,0
82,83,84,0,13,1.102920055,0,1
84,82,81,1,32,2.71487999,1,0
80,81,83,0,13,1.102920055,0,1
84,83,82,1,25,2.121000051,1,0
83,83,82,1,34,2.884560108,1,0
81,82,83,1,27,2.290679932,1,0
89,80,78,1,34,2.884560108,1,0
78,79,78,0,13,1.102920055,0,1
77,77,78,0,13,1.102920055,0,1
79,81,82,0,13,1.102920055,0,1
83,81,80,0,13,1.102920055,0,1
79,79,78,1,38,3.223920107,1,0
78,77,78,1,42,3.563280106,1,0
80,82,65,1,35,2.969399929,1,0
68,69,69,1,31,2.63003993,1,0
71,73,74,1,37,3.139080048,1,0
77,80,82,0,13,1.102920055,0,1
83,82,81,1,32,2.71487999,1,0
82,81,82,1,30,2.545200109,1,0
70,71,80,0,11,0.933239996,0,1
80,80,85,1,30,2.545200109,1,0
80,78,79,0,11,0.933239996,0,1
78,78,78,0,12,1.018079996,0,1
77,76,76,0,12,1.018079996,0,1
77,76,79,0,11,0.933239996,0,1
84,86,86,0,11,0.933239996,0,1
86,85,85,0,11,0.933239996,0,1
85,85,84,0,11,0.933239996,0,1
84,84,84,0,11,0.933239996,0,1
84,84,84,1,26,2.205840111,1,0
84,84,84,1,30,2.545200109,1,0
84,84,85,0,13,1.102920055,0,1
86,85,84,0,13,1.102920055,0,1
84,85,88,1,30,2.545200109,1,0
90,92,93,0,13,1.102920055,0,1
93,93,94,0,13,1.102920055,0,1
93,92,91,0,13,1.102920055,0,1
92,95,98,0,10,0.848399997,0,1
101,102,103,0,10,0.848399997,0,1
105,104,102,0,13,1.102920055,0,1
103,104,104,0,13,1.102920055,0,1
105,105,107,0,12,1.018079996,0,1
109,108,107,0,12,1.018079996,0,1
106,104,102,0,13,1.102920055,0,1
103,103,103,0,12,1.018079996,0,1
107,107,107,0,13,1.102920055,0,1
107,107,107,0,12,1.018079996,0,1
107,107,107,0,13,1.102920055,0,1
107,107,107,0,13,1.102920055,0,1
107,107,106,0,11,0.933239996,0,1
105,102,101,1,32,2.71487999,1,0
100,100,99,1,48,4.072319984,1,0
100,99,98,1,46,3.902640104,1,0
97,97,96,1,46,3.902640104,1,0
95,95,94,1,50,4.242000103,1,0
94,94,93,1,34,2.884560108,1,0
93,93,92,0,13,1.102920055,0,1
92,91,90,0,13,1.102920055,0,1
90,90,90,1,50,4.242000103,1,0
89,88,88,0,12,1.018079996,0,1
90,89,89,1,30,2.545200109,1,0
88,87,88,1,30,2.545200109,1,0
88,87,87,1,30,2.545200109,1,0
90,99,100,1,29,2.46036005,1,0
99,98,98,1,42,3.563280106,1,0
99,100,102,1,42,3.563280106,1,0
108,113,112,1,33,2.799720049,1,0
113,113,112,1,42,3.563280106,1,0
113,114,114,1,31,2.63003993,1,0
117,118,120,1,34,2.884560108,1,0
121,123,120,0,12,1.018079996,0,1
118,119,119,0,12,1.018079996,0,1
117,115,114,1,27,2.290679932,1,0
113,112,110,1,27,2.290679932,1,0
107,103,106,1,29,2.46036005,1,0
116,118,116,1,31,2.63003993,1,0
111,112,118,1,32,2.71487999,1,0
119,120,120,1,40,3.393599987,1,0
120,119,118,1,30,2.545200109,1,0
114,110,107,1,48,4.072319984,1,0
103,103,102,1,56,4.751039982,1,0
101,98,103,1,60,5.090400219,1,0
105,105,106,1,62,5.260079861,1,0
103,102,100,1,64,5.429759979,1,0
101,103,100,1,58,4.9207201,1,0
99,99,100,1,42,3.563280106,1,0
98,97,96,1,40,3.393599987,1,0
96,97,98,1,33,2.799720049,1,0
99,101,102,1,35,2.969399929,1,0
101,99,98,1,34,2.884560108,1,0
100,101,70,1,35,2.969399929,1,0
71,86,86,1,31,2.63003993,1,0
81,80,79,1,38,3.223920107,1,0
80,82,85,1,50,4.242000103,1,0
84,84,86,1,56,4.751039982,1,0
86,85,88,1,54,4.581359863,1,0
87,86,87,1,46,3.902640104,1,0
89,89,90,1,42,3.563280106,1,0
91,92,70,1,50,4.242000103,1,0
70,75,83,1,56,4.751039982,1,0
82,86,84,1,38,3.223920107,1,0
80,83,78,0,10,0.848399997,0,1
77,78,78,0,10,0.848399997,0,1
79,80,82,0,10,0.848399997,0,1
85,84,82,0,10,0.848399997,0,1
88,87,85,0,10,0.848399997,0,1
84,81,81,0,10,0.848399997,0,1
81,82,83,0,10,0.848399997,0,1
84,83,83,0,10,0.848399997,0,1
83,82,81,0,10,0.848399997,0,1
81,80,79,0,10,0.848399997,0,1
79,79,79,0,10,0.848399997,0,1
81,84,85,0,10,0.848399997,0,1
89,93,94,0,10,0.848399997,0,1
