heart0,heart1,heart2,level,mets,calories,active,sedentary,output
70,70,70,0,10,0.848399997,0,1,0.0
70,85,85,0,10,0.848399997,0,1,0.0
86,86,85,0,10,0.848399997,0,1,0.0
86,84,83,0,10,0.848399997,0,1,0.0
84,85,84,0,10,0.848399997,0,1,0.0
83,82,85,0,10,0.848399997,0,1,0.0
85,84,85,0,10,0.848399997,0,1,0.0
87,88,88,0,10,0.848399997,0,1,0.0
87,83,81,0,10,0.848399997,0,1,0.0
83,85,87,0,10,0.848399997,0,1,0.0
83,84,86,0,10,0.848399997,0,1,0.0
83,84,86,0,10,0.848399997,0,1,0.0
86,84,83,0,10,0.848399997,0,1,0.0
83,83,85,0,10,0.848399997,0,1,0.0
85,87,88,0,10,0.848399997,0,1,0.0
87,86,82,0,10,0.848399997,0,1,0.0
84,84,85,0,10,0.848399997,0,1,0.0
86,87,85,0,10,0.848399997,0,1,0.0
86,87,86,0,10,0.848399997,0,1,0.0
84,83,84,0,10,0.848399997,0,1,0.0
85,86,84,0,10,0.848399997,0,1,0.0
86,87,86,0,10,0.848399997,0,1,0.0
87,87,88,0,10,0.848399997,0,1,0.0
86,83,82,0,10,0.848399997,0,1,0.0
83,85,82,0,10,0.848399997,0,1,0.0
78,79,78,0,10,0.848399997,0,1,0.0
80,81,81,0,10,0.848399997,0,1,0.0
82,83,82,0,10,0.848399997,0,1,0.0
79,81,83,0,10,0.848399997,0,1,0.0
84,83,84,0,10,0.848399997,0,1,0.0
85,86,87,0,10,0.848399997,0,1,0.0
88,87,86,0,10,0.848399997,0,1,0.0
85,89,85,0,10,0.848399997,0,1,0.0
82,80,81,0,10,0.848399997,0,1,0.0
83,82,83,0,10,0.848399997,0,1,0.0
85,87,87,0,10,0.848399997,0,1,0.0
88,86,83,0,10,0.848399997,0,1,0.0
85,85,86,0,10,0.848399997,0,1,0.0
87,88,87,0,10,0.848399997,0,1,0.0
85,87,88,0,10,0.848399997,0,1,0.0
87,86,83,0,10,0.848399997,0,1,0.0
83,83,83,0,10,0.848399997,0,1,0.0
83,83,83,0,10,0.848399997,0,1,0.0
82,82,82,0,10,0.848399997,0,1,0.0
88,89,88,0,10,0.848399997,0,1,0.0
90,89,86,0,10,0.848399997,0,1,0.0
87,88,88,0,10,0.848399997,0,1,0.0
86,84,83,0,10,0.848399997,0,1,0.0
83,86,85,0,10,0.848399997,0,1,0.0
85,85,86,0,10,0.848399997,0,1,0.0
87,88,88,0,10,0.848399997,0,1,0.0
87,90,88,0,10,0.848399997,0,1,0.0
87,86,85,0,10,0.848399997,0,1,0.0
85,86,86,0,10,0.848399997,0,1,0.0
90,89,87,0,10,0.848399997,0,1,0.0
84,85,84,0,10,0.848399997,0,1,0.0
81,82,83,0,10,0.848399997,0,1,0.0
82,83,84,0,10,0.848399997,0,1,0.0
84,85,86,0,10,0.848399997,0,1,0.0
89,90,90,0,10,0.848399997,0,1,0.0
90,91,89,0,10,0.848399997,0,1,0.0
88,89,88,0,10,0.848399997,0,1,0.0
90,89,87,0,10,0.848399997,0,1,0.0
85,88,89,0,10,0.848399997,0,1,0.0
87,87,88,0,10,0.848399997,0,1,0.0
89,94,95,0,10,0.848399997,0,1,0.0
95,95,94,0,10,0.848399997,0,1,0.0
95,94,94,0,10,0.848399997,0,1,0.0
93,92,93,0,10,0.848399997,0,1,0.0
93,91,91,0,10,0.848399997,0,1,0.0
91,92,95,0,10,0.848399997,0,1,0.0
96,87,86,0,10,0.848399997,0,1,0.0
87,88,86,0,10,0.848399997,0,1,0.0
82,85,82,0,10,0.848399997,0,1,0.0
79,79,80,0,10,0.848399997,0,1,0.0
81,82,83,0,10,0.848399997,0,1,0.0
84,85,86,0,10,0.848399997,0,1,0.0
87,87,88,0,10,0.848399997,0,1,0.0
89,85,85,0,10,0.848399997,0,1,0.0
83,84,85,0,10,0.848399997,0,1,0.0
86,87,87,0,10,0.848399997,0,1,0.0
85,84,90,0,10,0.848399997,0,1,0.0
90,90,87,0,10,0.848399997,0,1,0.0
88,91,94,0,10,0.848399997,0,1,0.0
94,94,94,0,10,0.848399997,0,1,0.0
93,93,94,0,10,0.848399997,0,1,0.0
92,82,84,0,10,0.848399997,0,1,0.0
85,86,84,0,10,0.848399997,0,1,0.0
84,84,83,0,10,0.848399997,0,1,0.0
83,83,83,0,10,0.848399997,0,1,0.0
83,82,82,0,11,0.933239996,0,1,0.0
82,82,83,0,10,0.848399997,0,1,0.0
84,83,81,0,10,0.848399997,0,1,0.0
82,83,83,0,10,0.848399997,0,1,0.0
83,84,85,0,10,0.848399997,0,1,0.0
84,85,84,0,10,0.848399997,0,1,0.0
84,83,85,0,11,0.933239996,0,1,0.0
86,87,81,0,11,0.933239996,0,1,0.0
79,80,84,0,10,0.848399997,0,1,0.0
85,84,84,0,11,0.933239996,0,1,0.0
86,90,89,0,10,0.848399997,0,1,0.0
88,88,88,0,10,0.848399997,0,1,0.0
89,90,91,0,11,0.933239996,0,1,0.0
88,87,86,0,10,0.848399997,0,1,0.0
85,87,88,0,10,0.848399997,0,1,0.0
90,91,89,0,10,0.848399997,0,1,0.0
87,85,86,0,10,0.848399997,0,1,0.0
87,85,84,0,10,0.848399997,0,1,0.0
84,85,90,0,10,0.848399997,0,1,0.0
89,92,90,0,10,0.848399997,0,1,0.0
89,88,86,0,11,0.933239996,0,1,0.0
87,90,88,0,10,0.848399997,0,1,0.0
85,84,84,1,26,2.205840111,1,0,0.0
86,87,86,0,10,0.848399997,0,1,0.0
85,84,85,0,10,0.848399997,0,1,0.0
88,91,91,0,11,0.933239996,0,1,0.0
93,92,91,0,10,0.848399997,0,1,0.0
90,91,87,0,10,0.848399997,0,1,0.0
88,87,83,0,11,0.933239996,0,1,0.0
82,83,85,0,13,1.102920055,0,1,0.0
88,87,88,0,12,1.018079996,0,1,0.0
89,90,89,0,13,1.102920055,0,1,0.0
88,89,89,0,13,1.102920055,0,1,0.0
88,89,89,0,13,1.102920055,0,1,0.0
88,86,80,0,11,0.933239996,0,1,0.0
82,84,85,0,10,0.848399997,0,1,0.0
85,86,85,0,10,0.848399997,0,1,0.0
85,86,85,0,10,0.848399997,0,1,0.0
84,84,86,0,13,1.102920055,0,1,0.0
86,85,85,0,13,1.102920055,0,1,0.0
86,86,85,0,11,0.933239996,0,1,0.0
83,84,82,0,10,0.848399997,0,1,0.0
83,84,85,0,11,0.933239996,0,1,0.0
87,88,89,0,11,0.933239996,0,1,0.0
90,90,88,0,11,0.933239996,0,1,0.0
90,89,90,0,10,0.848399997,0,1,0.0
87,87,81,0,11,0.933239996,0,1,0.0
81,82,84,0,11,0.933239996,0,1,0.0
85,86,86,0,10,0.848399997,0,1,0.0
87,86,85,0,10,0.848399997,0,1,0.0
84,82,81,0,10,0.848399997,0,1,0.0
80,79,80,0,10,0.848399997,0,1,0.0
78,79,82,0,12,1.018079996,0,1,0.0
84,86,86,0,10,0.848399997,0,1,0.0
87,88,89,0,11,0.933239996,0,1,0.0
90,89,89,0,10,0.848399997,0,1,0.0
89,88,87,0,11,0.933239996,0,1,0.0
87,88,88,0,10,0.848399997,0,1,0.0
90,91,90,0,12,1.018079996,0,1,0.0
88,87,86,0,10,0.848399997,0,1,0.0
85,85,86,0,11,0.933239996,0,1,0.0
87,87,87,0,10,0.848399997,0,1,0.0
88,89,92,0,11,0.933239996,0,1,0.0
91,91,90,0,11,0.933239996,0,1,0.0
89,91,91,0,11,0.933239996,0,1,0.0
92,94,96,1,40,3.393599987,1,0,0.0
97,96,95,1,36,3.054239988,1,0,0.0
96,97,97,0,13,1.102920055,0,1,0.0
95,94,90,0,13,1.102920055,0,1,0.0
89,90,91,1,28,2.375519991,0,0,0.0
92,102,107,1,26,2.205840111,0,0,0.0
109,108,107,1,26,2.205840111,0,0,0.0
111,110,111,0,10,0.848399997,1,1,0.0
113,112,113,1,26,2.205840111,0,0,0.0
115,114,109,1,26,2.205840111,0,0,0.0
111,113,112,1,27,2.290679932,0,0,0.0
111,116,117,1,26,2.205840111,0,0,0.0
110,112,111,0,12,1.018079996,1,1,0.0
111,110,111,0,12,1.018079996,1,1,0.0
113,113,112,1,27,2.290679932,0,0,0.0
