,time,value
760,12:40:00,1
761,12:41:00,1
762,12:42:00,1
763,12:43:00,1
764,12:44:00,1
765,12:45:00,1
766,12:46:00,1
767,12:47:00,1
768,12:48:00,1
769,12:49:00,1
770,12:50:00,1
771,12:51:00,1
772,12:52:00,1
773,12:53:00,1
774,12:54:00,1
775,12:55:00,1
776,12:56:00,1
777,12:57:00,1
778,12:58:00,1
779,12:59:00,1
780,13:00:00,1
781,13:01:00,1
782,13:02:00,1
783,13:03:00,1
784,13:04:00,1
785,13:05:00,1
786,13:06:00,1
787,13:07:00,1
788,13:08:00,1
789,13:09:00,1
790,13:10:00,1
791,13:11:00,1
792,13:12:00,1
793,13:13:00,1
794,13:14:00,1
795,13:15:00,1
796,13:16:00,1
797,13:17:00,1
798,13:18:00,1
799,13:19:00,1
800,13:20:00,1
801,13:21:00,1
802,13:22:00,1
803,13:23:00,1
804,13:24:00,1
805,13:25:00,1
806,13:26:00,1
807,13:27:00,1
808,13:28:00,1
809,13:29:00,1
810,13:30:00,1
811,13:31:00,1
812,13:32:00,1
813,13:33:00,1
814,13:34:00,1
815,13:35:00,1
816,13:36:00,1
817,13:37:00,1
818,13:38:00,1
819,13:39:00,1
820,13:40:00,1
821,13:41:00,1
822,13:42:00,1
823,13:43:00,1
824,13:44:00,1
825,13:45:00,1
826,13:46:00,1
827,13:47:00,1
828,13:48:00,1
829,13:49:00,1
830,13:50:00,1
831,13:51:00,1
832,13:52:00,1
833,13:53:00,1
834,13:54:00,1
835,13:55:00,1
836,13:56:00,1
837,13:57:00,1
838,13:58:00,1
839,13:59:00,1
840,14:00:00,1
841,14:01:00,1
842,14:02:00,1
843,14:03:00,1
844,14:04:00,1
845,14:05:00,1
846,14:06:00,1
847,14:07:00,1
848,14:08:00,1
849,14:09:00,1
850,14:10:00,1
851,14:11:00,1
852,14:12:00,1
853,14:13:00,1
854,14:14:00,1
855,14:15:00,1
856,14:16:00,1
857,14:17:00,1
858,14:18:00,1
859,14:19:00,1
860,14:20:00,1
861,14:21:00,1
862,14:22:00,1
863,14:23:00,1
864,14:24:00,1
865,14:25:00,1
866,14:26:00,1
867,14:27:00,1
868,14:28:00,1
869,14:29:00,1
870,14:30:00,1
871,14:31:00,1
872,14:32:00,1
873,14:33:00,1
874,14:34:00,1
875,14:35:00,1
876,14:36:00,1
877,14:37:00,1
878,14:38:00,1
879,14:39:00,1
880,14:40:00,1
