,time,value
37,00:23:06,90
38,00:23:16,89
39,00:23:21,90
40,00:23:26,91
41,00:23:31,92
42,00:23:36,102
43,00:23:41,107
44,00:23:46,109
45,00:24:01,108
46,00:24:06,107
47,00:24:11,111
48,00:24:16,110
49,00:24:21,111
50,00:24:31,113
51,00:24:41,112
52,00:24:46,113
53,00:24:51,115
54,00:24:56,114
55,00:25:06,109
56,00:25:16,111
57,00:25:21,113
58,00:25:26,112
59,00:25:31,111
60,00:25:36,116
61,00:25:41,117
62,00:25:46,110
63,00:25:51,112
64,00:25:56,111
65,00:26:06,111
66,00:26:11,110
67,00:26:16,111
68,00:26:21,113
69,00:26:26,113
70,00:26:41,112
71,00:26:46,108
72,00:26:51,110
73,00:26:56,112
74,00:27:01,112
75,00:27:11,114
76,00:27:21,116
77,00:27:26,111
78,00:27:31,109
79,00:27:36,110
80,00:27:41,109
81,00:27:46,111
82,00:27:56,110
83,00:28:01,111
84,00:28:06,112
85,00:28:11,107
86,00:28:16,108
87,00:28:21,109
88,00:28:26,110
89,00:28:31,111
90,00:28:36,111
91,00:28:46,112
92,00:28:51,110
93,00:28:56,115
94,00:29:01,114
95,00:29:06,113
96,00:29:21,115
97,00:29:31,113
98,00:29:36,110
99,00:29:41,107
100,00:29:51,106
101,00:30:01,107
102,00:30:11,110
103,00:30:16,110
104,00:30:31,114
105,00:30:36,115
106,00:30:41,112
107,00:30:46,111
108,00:30:51,108
109,00:31:01,109
110,00:31:11,108
111,00:31:16,106
112,00:31:31,107
113,00:31:36,108
114,00:31:41,109
115,00:31:46,108
116,00:31:51,107
117,00:31:56,107
118,00:32:01,106
119,00:32:06,105
120,00:32:21,105
121,00:32:26,104
122,00:32:31,103
123,00:32:36,105
124,00:32:46,106
125,00:32:51,107
126,00:32:56,109
127,00:33:11,109
128,00:33:27,110
129,00:33:37,109
130,00:33:42,108
131,00:33:47,110
132,00:33:52,114
133,00:33:57,116
134,00:34:02,116
135,00:34:09,115
136,00:34:14,114
137,00:34:19,111
138,00:34:24,108
139,00:34:39,108
140,00:34:49,109
141,00:34:54,107
142,00:34:59,104
143,00:35:09,105
144,00:35:14,106
145,00:35:24,104
146,00:35:29,103
147,00:35:34,103
148,00:35:39,105
149,00:35:49,106
150,00:35:54,109
151,00:35:59,105
152,00:36:04,104
153,00:36:19,105
154,00:36:24,106
155,00:36:34,107
156,00:36:44,105
157,00:36:49,99
158,00:36:54,91
159,00:36:59,101
160,00:37:04,108
161,00:37:09,108
162,00:37:19,110
163,00:37:24,108
164,00:37:39,109
165,00:37:44,107
166,00:37:49,108
167,00:37:54,109
168,00:37:59,105
169,00:38:04,105
170,00:38:09,103
171,00:38:14,107
172,00:38:19,109
173,00:38:29,108
174,00:38:34,105
175,00:38:39,104
176,00:38:44,105
177,00:38:59,106
178,00:39:04,107
179,00:39:19,107
180,00:39:29,110
181,00:39:34,112
182,00:39:44,110
183,00:39:54,109
184,00:39:59,109
